movie_id,Year,Director,Film,Winner
tt0350258,2004,Taylor Hackford,Ray,False
,2004,Mike Leigh,Vera Drake,False
tt0375063,2004,Alexander Payne,Sideways,False
tt0338751,2004,Martin Scorsese,The Aviator,False
tt0388795,2005,Ang Lee,Brokeback Mountain,True
,2005,George Clooney,"Good Night, and Good Luck",False
,2005,Paul Haggis,Crash,False
tt0379725,2005,Bennett Miller,Capote,False
tt0408306,2005,Steven Spielberg,Munich,False
tt0407887,2006,Martin Scorsese,The Departed,True
tt0498380,2006,Clint Eastwood,Letters from Iwo Jima,False
tt0436697,2006,Stephen Frears,The Queen,False
,2006,Paul Greengrass,United 93,False
tt0449467,2006,Alejandro Gonzalez Inarritu,Babel,False
tt0477348,2007,Joel Coen,No Country for Old Men,True
tt0477348,2007,Ethan Coen,No Country for Old Men,True
tt0469494,2007,Paul Thomas Anderson,There Will Be Blood,False
tt0465538,2007,Tony Gilroy,Michael Clayton,False
tt0467406,2007,Jason Reitman,Juno,False
,2007,Julian Schnabel,The Diving Bell and the Butterfly,False
tt1010048,2008,Danny Boyle,Slumdog Millionaire,True
tt0976051,2008,Stephen Daldry,The Reader,False
tt0421715,2008,David Fincher,The Curious Case of Benjamin Button,False
tt0870111,2008,Ron Howard,Frost/Nixon,False
tt1013753,2008,Gus Van Sant,Milk,False
,2009,Kathryn Bigelow,The Hurt Locker,True
tt0499549,2009,James Cameron,Avatar,False
tt0929632,2009,Lee Daniels,Precious,False
tt1193138,2009,Jason Reitman,Up in the Air,False
tt0361748,2009,Quentin Tarantino,Inglourious Basterds,False
tt1504320,2010,Tom Hooper,The King's Speech,True
tt0947798,2010,Darren Aronofsky,Black Swan,False
tt1403865,2010,Joel Coen,True Grit,False
tt1403865,2010,Ethan Coen,True Grit,False
tt1285016,2010,David Fincher,The Social Network,False
tt0964517,2010,David O. Russell,The Fighter,False
tt1655442,2011,Michel Hazanavicius,The Artist,True
tt1605783,2011,Woody Allen,Midnight in Paris,False
tt0478304,2011,Terrence Malick,The Tree of Life,False
tt1033575,2011,Alexander Payne,The Descendants,False
tt0970179,2011,Martin Scorsese,Hugo,False
tt0454876,2012,Ang Lee,Life of Pi,True
tt1602620,2012,Michael Haneke,Amour,False
tt1045658,2012,David O. Russell,Silver Linings Playbook,False
tt0443272,2012,Steven Spielberg,Lincoln,False
tt2125435,2012,Benh Zeitlin,Beasts of the Southern Wild,False
tt1454468,2013,Alfonso Cuaron,Gravity,True
tt2024544,2013,Steve McQueen,12 Years a Slave,False
tt1821549,2013,Alexander Payne,Nebraska,False
tt1800241,2013,David O. Russell,American Hustle,False
tt0993846,2013,Martin Scorsese,The Wolf of Wall Street,False
,2014,Alejandro G. Inarritu,Birdman,True
tt2278388,2014,Wes Anderson,The Grand Budapest Hotel,False
tt1065073,2014,Richard Linklater,Boyhood,False
,2014,Bennett Miller,Foxcatcher,False
tt2084970,2014,Morten Tyldum,The Imitation Game,False
tt1663202,2015,Alejandro G. Inarittu,The Revenant,True
tt3170832,2015,Lenny Abrahamson,Room,False
tt1895587,2015,Tom McCarthy,Spotlight,False
tt1596363,2015,Adam McKay,The Big Short,False
tt1392190,2015,George Miller,Mad Max: Fury Road,False
tt3783958,2016,Damien Chazelle,La La Land,True
tt2119532,2016,Mel Gibson,Hacksaw Ridge,False
tt4975722,2016,Barry Jenkins,Moonlight,False
tt4034228,2016,Kenneth Lonergan,Manchester by the Sea,False
tt2543164,2016,Denis Villeneuve,Arrival,False
tt5580390,2017,Guillermo del Toro,The Shape of Water,True
,2017,Paul Thomas Anderson,Phantom Thread,False
tt4925292,2017,Greta Gerwig,Lady Bird,False
tt5013056,2017,Christopher Nolan,Dunkirk,False
tt5052448,2017,Jordan Peele,Get Out,False
tt6155172,2018,Alfonso Cuaron,Roma,True
tt5083738,2018,Yorgos Lanthimos,The Favourite,False
tt7349662,2018,Spike Lee,BlacKkKlansman,False
tt6266538,2018,Adam McKay,Vice,False
,2018,Pawel Pawlikowski,Cold War,False
tt6751668,2019,Bong Joon-ho,Parasite,True
tt8579674,2019,Sam Mendes,1917,False
tt7286456,2019,Todd Phillips,Joker,False
tt1302006,2019,Martin Scorsese,The Irishman,False
,2019,Quentin Tarantino,Once Upon a Time in Hollywood,False
tt9770150,2020,Chloe Zhao,Nomadland,True
tt10633456,2020,Lee Isaac Chung,Minari,False
tt9620292,2020,Emerald Fennell,Promising Young Woman,False
tt10618286,2020,David Fincher,Mank,False
,2020,Thomas Vinterberg,Another Round,False
,2021,Jane Campion,The Power of the Dog,True
tt11271038,2021,Paul Thomas Anderson,Licorice Pizza,False
tt12789558,2021,Kenneth Branagh,Belfast,False
tt14039582,2021,Ryusuke Hamaguchi,Drive My Car,False
tt3581652,2021,Steven Spielberg,West Side Story,False
tt6710474,2022,Daniel Kwan,Everything Everywhere All at Once,True
tt6710474,2022,Daniel Scheinert,Everything Everywhere All at Once,True
tt14444726,2022,Todd Field,Tar,False
tt11813216,2022,Martin McDonagh,The Banshees of Inisherin,False
tt7322224,2022,Ruben Ostlund,Triangle of Sadness,False
,2022,Steven Spielberg,The Fabelmans,False
tt15398776,2023,Christopher Nolan,Oppenheimer,True
tt7160372,2023,Jonathan Glazer,The Zone of Interest,False
tt14230458,2023,Yorgos Lanthimos,Poor Things,False
tt5537002,2023,Martin Scorsese,Killers of the Flower Moon,False
tt17009710,2023,Justine Triet,Anatomy of a Fall,False
tt28607951,2024,Sean Baker,Anora,True
tt20221436,2024,Jacques Audiard,Emilia Perez,False
tt8999762,2024,Brady Corbet,The Brutalist,False
tt17526714,2024,Coralie Fargeat,The Substance,False
tt11563598,2024,James Mangold,A Complete Unknown,False
