movie_id,Year,Actor,Film,Winner
tt0096969,1989,Tom Cruise,Born on the Fourth of July,False
tt0097239,1989,Morgan Freeman,Driving Miss Daisy,False
tt0097165,1989,Robin Williams,Dead Poets Society,False
,1990,Jeremy Irons,Reversal of Fortune,True
tt0099348,1990,Kevin Costner,Dances with Wolves,False
tt0099077,1990,Robert De Niro,Awakenings,False
,1990,Gérard Depardieu,Cyrano de Bergerac,False
,1990,Richard Harris,The Field,False
tt0102926,1991,Anthony Hopkins,The Silence of the Lambs,True
tt0101516,1991,Warren Beatty,Bugsy,False
,1991,Robert De Niro,Cape Fear,False
tt0102713,1991,Nick Nolte,The Prince of Tides,False
,1991,Robin Williams,The Fisher King,False
tt0105323,1992,Al Pacino,Scent of a Woman,True
,1992,Robert Downey Jr.,Chaplin,False
tt0105695,1992,Clint Eastwood,Unforgiven,False
tt0104036,1992,Stephen Rea,The Crying Game,False
,1992,Denzel Washington,Malcolm X,False
,1993,Tom Hanks,Philadelphia,True
tt0107207,1993,Daniel Day-Lewis,In the Name of the Father,False
,1993,Laurence Fishburne,What's Love Got to Do with It,False
tt0107943,1993,Anthony Hopkins,The Remains of the Day,False
tt0108052,1993,Liam Neeson,Schindler's List,False
tt0109830,1994,Tom Hanks,Forrest Gump,True
tt0111161,1994,Morgan Freeman,The Shawshank Redemption,False
,1994,Nigel Hawthorne,The Madness of King George,False
,1994,Paul Newman,Nobody's Fool,False
tt0110912,1994,John Travolta,Pulp Fiction,False
,1995,Nicolas Cage,Leaving Las Vegas,True
,1995,Richard Dreyfuss,Mr. Holland's Opus,False
,1995,Anthony Hopkins,Nixon,False
,1995,Sean Penn,Dead Man Walking,False
,1995,Massimo Troisi,Il Postino: The Postman,False
tt0117631,1996,Geoffrey Rush,Shine,True
tt0116695,1996,Tom Cruise,Jerry Maguire,False
tt0116209,1996,Ralph Fiennes,The English Patient,False
,1996,Woody Harrelson,The People vs. Larry Flynt,False
,1996,Billy Bob Thornton,Sling Blade,False
tt0119822,1997,Jack Nicholson,As Good as It Gets,True
tt0119217,1997,Matt Damon,Good Will Hunting,False
,1997,Robert Duvall,The Apostle,False
,1997,Peter Fonda,Ulee's Gold,False
,1997,Dustin Hoffman,Wag the Dog,False
,1998,Roberto Benigni,Life Is Beautiful,True
tt0120815,1998,Tom Hanks,Saving Private Ryan,False
,1998,Ian McKellen,Gods and Monsters,False
,1998,Nick Nolte,Affliction,False
,1998,Edward Norton,American History X,False
tt0169547,1999,Kevin Spacey,American Beauty,True
tt0140352,1999,Russell Crowe,The Insider,False
,1999,Richard Farnsworth,The Straight Story,False
,1999,Sean Penn,Sweet and Lowdown,False
,1999,Denzel Washington,The Hurricane,False
tt0172495,2000,Russell Crowe,Gladiator,True
,2000,Javier Bardem,Before Night Falls,False
,2000,Tom Hanks,Cast Away,False
,2000,Ed Harris,Pollock,False
,2000,Geoffrey Rush,Quills,False
,2001,Denzel Washington,Training Day,True
tt0268978,2001,Russell Crowe,A Beautiful Mind,False
,2001,Sean Penn,I Am Sam,False
,2001,Will Smith,Ali,False
tt0247425,2001,Tom Wilkinson,In the Bedroom,False
tt0253474,2002,Adrien Brody,The Pianist,True
,2002,Nicolas Cage,Adaptation.,False
,2002,Michael Caine,The Quiet American,False
