movie_id,Year,Actress,Film,Winner
tt0116209,1996,Kristin Scott Thomas,The English Patient,False
,1996,Emily Watson,Breaking the Waves,False
tt0119822,1997,Helen Hunt,As Good as It Gets,True
,1997,Helena Bonham Carter,The Wings of the Dove,False
,1997,Julie Christie,Afterglow,False
,1997,Judi Dench,Mrs Brown,False
tt0120338,1997,Kate Winslet,Titanic,False
tt0138097,1998,Gwyneth Paltrow,Shakespeare in Love,True
tt0127536,1998,Cate Blanchett,Elizabeth,False
,1998,Fernanda Montenegro,Central Station,False
,1998,Meryl Streep,One True Thing,False
,1998,Emily Watson,Hilary and Jackie,False
,1999,Hilary Swank,Boys Don't Cry,True
tt0169547,1999,Annette Bening,American Beauty,False
,1999,Janet McTeer,Tumbleweeds,False
,1999,Julianne Moore,The End of the Affair,False
,1999,Meryl Streep,Music of the Heart,False
tt0195685,2000,Julia Roberts,Erin Brockovich,True
,2000,Joan Allen,The Contender,False
tt0241303,2000,Juliette Binoche,Chocolat,False
,2000,Ellen Burstyn,Requiem for a Dream,False
,2000,Laura Linney,You Can Count on Me,False
,2001,Halle Berry,Monster's Ball,True
,2001,Judi Dench,Iris,False
tt0203009,2001,Nicole Kidman,Moulin Rouge!,False
tt0247425,2001,Sissy Spacek,In the Bedroom,False
,2001,Renee Zellweger,Bridget Jones's Diary,False
tt0274558,2002,Nicole Kidman,The Hours,True
,2002,Salma Hayek,Frida,False
,2002,Diane Lane,Unfaithful,False
,2002,Julianne Moore,Far from Heaven,False
tt0299658,2002,Renee Zellweger,Chicago,False
,2003,Charlize Theron,Monster,True
,2003,Keisha Castle-Hughes,Whale Rider,False
,2003,Diane Keaton,Something's Gotta Give,False
,2003,Samantha Morton,In America,False
,2003,Naomi Watts,21 Grams,False
tt0405159,2004,Hilary Swank,Million Dollar Baby,True
,2004,Annette Bening,Being Julia,False
,2004,Catalina Sandino Moreno,Maria Full of Grace,False
,2004,Imelda Staunton,Vera Drake,False
,2004,Kate Winslet,Eternal Sunshine of the Spotless Mind,False
,2005,Reese Witherspoon,Walk the Line,True
,2005,Judi Dench,Mrs Henderson Presents,False
,2005,Felicity Huffman,Transamerica,False
,2005,Keira Knightley,Pride & Prejudice,False
,2005,Charlize Theron,North Country,False
tt0436697,2006,Helen Mirren,The Queen,True
,2006,Penelope Cruz,Volver,False
,2006,Judi Dench,Notes on a Scandal,False
,2006,Meryl Streep,The Devil Wears Prada,False
,2006,Kate Winslet,Little Children,False
,2007,Marion Cotillard,La Vie en Rose,True
,2007,Cate Blanchett,Elizabeth: The Golden Age,False
,2007,Julie Christie,Away from Her,False
,2007,Laura Linney,The Savages,False
tt0467406,2007,Elliot Page,Juno,False
tt0976051,2008,Kate Winslet,The Reader,True
,2008,Anne Hathaway,Rachel Getting Married,False
,2008,Angelina Jolie,Changeling,False
,2008,Melissa Leo,Frozen River,False
,2008,Meryl Streep,Doubt,False
tt0878804,2009,Sandra Bullock,The Blind Side,True
,2009,Helen Mirren,The Last Station,False
tt1174732,2009,Carey Mulligan,An Education,False
tt0929632,2009,Gabourey Sidibe,Precious,False
,2009,Meryl Streep,Julie & Julia,False
tt0947798,2010,Natalie Portman,Black Swan,True
tt0842926,2010,Annette Bening,The Kids Are All Right,False
,2010,Nicole Kidman,Rabbit Hole,False
,2010,Jennifer Lawrence,Winter's Bone,False
,2010,Michelle Williams,Blue Valentine,False
,2011,Meryl Streep,The Iron Lady,True
,2011,Glenn Close,Albert Nobbs,False
tt1454029,2011,Viola Davis,The Help,False
,2011,Rooney Mara,The Girl with the Dragon Tattoo,False
,2011,Michelle Williams,My Week with Marilyn,False
tt1045658,2012,Jennifer Lawrence,Silver Linings Playbook,True
tt1790885,2012,Jessica Chastain,Zero Dark Thirty,False
tt1602620,2012,Emmanuelle Riva,Amour,False
tt2125435,2012,Quvenzhane Wallis,Beasts of the Southern Wild,False
,2012,Naomi Watts,The Impossible,False
,2013,Cate Blanchett,Blue Jasmine,True
tt1800241,2013,Amy Adams,American Hustle,False
tt1454468,2013,Sandra Bullock,Gravity,False
tt2431286,2013,Judi Dench,Philomena,False
,2013,Meryl Streep,August: Osage County,False
,2014,Julianne Moore,Still Alice,True
,2014,Marion Cotillard,"Two Days, One Night",False
tt2980516,2014,Felicity Jones,The Theory of Everything,False
,2014,Rosamund Pike,Gone Girl,False
,2014,Reese Witherspoon,Wild,False
tt3170832,2015,Brie Larson,Room,True
,2015,Cate Blanchett,Carol,False
,2015,Jennifer Lawrence,Joy,False
,2015,Charlotte Rampling,45 Years,False
tt2381111,2015,Saoirse Ronan,Brooklyn,False
tt3783958,2016,Emma Stone,La La Land,True
,2016,Isabelle Huppert,Elle,False
,2016,Ruth Negga,Loving,False
,2016,Natalie Portman,Jackie,False
,2016,Meryl Streep,Florence Foster Jenkins,False
tt5027774,2017,Frances McDormand,"Three Billboards Outside Ebbing, Missouri",True
tt5580390,2017,Sally Hawkins,The Shape of Water,False
,2017,Margot Robbie,"I, Tonya",False
tt4925292,2017,Saoirse Ronan,Lady Bird,False
tt6294822,2017,Meryl Streep,The Post,False
tt5083738,2018,Olivia Colman,The Favourite,True
tt6155172,2018,Yalitza Aparicio,Roma,False
,2018,Glenn Close,The Wife,False
tt1517451,2018,Lady Gaga,A Star Is Born,False
,2018,Melissa McCarthy,Can You Ever Forgive Me?,False
,2019,Renee Zellweger,Judy,True
,2019,Cynthia Erivo,Harriet,False
tt7653254,2019,Scarlett Johansson,Marriage Story,False
tt3281548,2019,Saoirse Ronan,Little Women,False
,2019,Charlize Theron,Bombshell,False
tt9770150,2020,Frances McDormand,Nomadland,True
,2020,Viola Davis,Ma Rainey's Black Bottom,False
,2020,Andra Day,The United States vs. Billie Holiday,False
,2020,Vanessa Kirby,Pieces of a Woman,False
tt9620292,2020,Carey Mulligan,Promising Young Woman,False
,2021,Jessica Chastain,The Eyes of Tammy Faye,True
,2021,Olivia Colman,The Lost Daughter,False
,2021,Penelope Cruz,Parallel Mothers,False
,2021,Nicole Kidman,Being the Ricardos,False
,2021,Kristen Stewart,Spencer,False
tt6710474,2022,Michelle Yeoh,Everything Everywhere All at Once,True
tt14444726,2022,Cate Blanchett,Tar,False
,2022,Ana de Armas,Blonde,False
,2022,Andrea Riseborough,To Leslie,False
,2022,Michelle Williams,The Fabelmans,False
tt14230458,2023,Emma Stone,Poor Things,True
,2023,Annette Bening,Nyad,False
tt5537002,2023,Lily Gladstone,Killers of the Flower Moon,False
tt17009710,2023,Sandra Huller,Anatomy of a Fall,False
tt5535276,2023,Carey Mulligan,Maestro,False
tt28607951,2024,Mikey Madison,Anora,True
tt1262426,2024,Cynthia Erivo,Wicked,False
tt20221436,2024,Karla Sofia Gascon,Emilia Perez,False
tt17526714,2024,Demi Moore,The Substance,False
tt14961016,2024,Fernanda Torres,I'm Still Here,False
